Formula,Volume,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,ave:density,ave:dipole_polarizability,ave:electron_negativity,ave:electron_affinity,ave:en_allen,ave:en_ghosh,ave:en_pauling,ave:first_ion_en,ave:fusion_enthalpy,ave:gs_bandgap,ave:gs_energy,ave:specific_heat,ave:thermal_conductivity,ave:vdw_radius,ave:vdw_radius_alvarez,ave:vdw_radius_mm3,ave:vdw_radius_uff,ave:sound_velocity
BaNbO3,70.35268214,161.3208522,211.4,18.36,55.646074,1439.114,81.58362451,3.1034,77.944,2.562,1.0890733,15.5262,0.24009636,2.562,10.5649328,7.556,0,-5.257443901,0.739511982,14.415948,188.4,201.8,219.2,347.36,1210.5
I2O6Tl2,94.58888505,152.0687705,198.6,16.98,75.856294,491.614,55.80362451,4.0454,20.404,2.92,1.56387546,18.13407801,0.26133792,2.956,11.4827208,2.5124,0.2124,-3.609691133,0.869475636,9.305748,170,180.2,208.2,386.94,1011.942987
Cd2F6Rb2,90.76498849,160.8141685,193.4,24.06,50.9754019,450.806,36.9793637,2.7012,75.91,2.89,2.647984331,17.5144,0.25768432,2.89,13.0878696,1.833,1.182,-1.373938425,0.864707505,31.01662,192.4,201.6,217.6,341.08,2418.14953
Br9Cs3Ge3,189.2571839,175.3331849,228,30.82,89.0494904,1010.06,20.76758774,3.3112,101.166,2.336,2.35902052,12.6676,0.21351502,2.336,9.446947,10.977,0.9508,-2.043948404,0.800144312,19.272,221.8,227,250.8,427.28,2996.023128
Cs2F6Tl2,110.3591846,168.0141685,196,27.7,78.8561323,587.326,36.9993637,3.4094,92.76,2.87,2.21043902,18.18767801,0.2721977,2.906,12.4540998,1.3994,1.182,-1.644297373,0.820107505,16.41662,196,206.6,223.2,379.12,2295.205124
Ca2Cs2F6,96.2711942,173.2141685,201.6,30.24,45.9957323,592.726,31.7993637,1.3494,116.22,2.746,2.13994902,16.8822,0.26059068,2.746,12.455093,2.279,1.182,-1.57942778,0.925107505,47.21662,203,209.6,227.6,360.16,2893.605124
Ag2Cu2F6,64.65769187,134.8141685,186.2,13.74,45.6818819,1116.006,76.0793637,4.5568,22.02,3.154,2.54811382,19.282,0.26634342,3.154,13.514202,5.133,1.182,-2.308046251,0.870707505,166.01662,169.6,185.8,196.4,334.7,2930.14953
Ag2F6K2,83.68680399,156.2141685,189.6,21.38,40.7923419,757.406,48.6993637,2.936,70.84,2.938,2.40140782,17.958,0.25574702,2.938,12.83705866,2.88,1.182,-1.791423229,0.944307505,106.01662,185.4,192.8,213,341.04,2616.14953
NaO3W,59.81199782,153.9208522,198.2,15.046,50.96535386,1471.334,108.9236245,4.7436,50.684,2.722,1.1495053,15.578,0.24919788,2.59,10.7714512,11.114,0,-5.697883544,0.918511982,62.015948,180.2,191.4,211,331.58,1865.3
Cl6Ge2K2,153.1720862,162.8122904,217.2,23,43.61566,973.16,20.58758774,2.1718,80.964,2.462,2.5144714,13.41,0.21583756,2.462,10.22859666,9.775,1.5724,-2.213376105,0.659274576,32.00534,202.2,209.6,234.8,398.66,1603.6
